area_marla,bedroom,bath,type_enc,purpose_enc,city_enc,price_lakh
3.2,1.0,1.0,1,1,6,257.0
20.0,7.0,6.0,2,1,6,930.0000000000001
10.0,6.0,6.0,2,1,6,400.0
6.0,2.0,2.0,1,1,6,520.0
10.0,6.0,6.0,2,1,6,375.0
8.0,4.0,6.0,2,1,6,290.0
20.0,7.0,6.0,2,1,6,1135.0
6.0,5.0,6.0,2,1,6,300.0
14.2,6.0,6.0,2,1,6,445.0
6.0,4.0,3.0,2,1,6,225.0
10.7,6.0,6.0,2,1,6,770.0
8.0,6.0,6.0,2,1,6,370.0
12.0,5.0,6.0,2,1,6,570.0
12.0,3.0,4.0,1,1,6,295.0
20.0,6.0,7.0,2,1,6,560.0
4.0,2.0,2.0,1,1,6,64.0
2.0,1.0,1.0,1,1,6,48.0
7.5,3.0,3.0,1,1,6,140.0
3.5,1.0,1.0,1,1,6,124.0
10.0,5.0,6.0,2,1,6,650.0
5.0,3.0,3.0,2,1,6,180.0
6.2,2.0,2.0,1,1,6,555.0
10.0,5.0,6.0,2,1,6,800.0
5.1,1.0,2.0,1,1,6,590.0
12.0,9.0,6.0,2,1,6,290.0
10.0,4.0,4.0,2,1,6,550.0
3.5,1.0,1.0,1,1,6,39.01
20.0,6.0,7.0,2,1,6,1000.0
7.1,2.0,2.0,1,1,6,315.0
14.0,6.0,6.0,2,1,6,850.0
9.0,5.0,5.0,2,1,6,750.0
5.0,3.0,4.0,2,1,6,218.00000000000003
4.7,1.0,1.0,1,1,6,560.0
5.0,3.0,4.0,2,1,6,260.0
4.0,5.0,5.0,2,1,6,409.99999999999994
14.2,6.0,6.0,2,1,6,600.0
14.2,6.0,6.0,2,1,6,540.0
4.0,4.0,4.0,2,1,6,500.0
10.9,6.0,6.0,2,1,6,825.0
8.0,5.0,5.0,2,1,6,360.0
8.0,5.0,5.0,2,1,6,430.0
3.9,1.0,1.0,1,1,6,144.0
2.1,1.0,1.0,1,1,6,57.0
20.0,6.0,6.0,2,1,6,725.0
10.0,5.0,6.0,2,1,6,500.0
2.5,1.0,1.0,1,1,6,65.17
14.0,8.0,7.0,2,1,6,490.00000000000006
9.0,5.0,5.0,2,1,6,420.0
20.0,4.0,5.0,1,1,6,900.0
12.4,3.0,3.0,1,1,6,700.0
5.0,4.0,6.0,2,1,6,160.0
5.0,5.0,5.0,2,1,6,459.99999999999994
9.0,7.0,6.0,2,1,6,375.0
20.0,11.0,7.0,2,1,6,395.0
10.0,5.0,6.0,2,1,6,495.0
10.0,6.0,6.0,2,1,6,450.0
7.1,2.0,2.0,1,1,6,320.0
5.0,3.0,4.0,2,1,6,229.99999999999997
5.4,3.0,3.0,1,1,6,65.0
5.0,4.0,6.0,2,1,6,155.0
3.5,2.0,2.0,1,1,6,92.43
7.8,2.0,2.0,1,1,6,210.0
20.0,8.0,7.0,2,1,6,950.0
10.0,5.0,6.0,2,1,6,385.0
7.0,7.0,7.0,2,1,6,730.0
7.6,2.0,2.0,1,1,6,260.0
10.0,8.0,6.0,2,1,6,860.0
7.3,4.0,5.0,2,1,6,530.0
2.5,2.0,2.0,2,1,6,75.0
20.0,6.0,6.0,2,1,6,900.0
5.0,4.0,5.0,2,1,6,440.00000000000006
8.0,3.0,3.0,2,1,6,150.0
20.0,9.0,6.0,2,1,6,730.0
9.3,2.0,2.0,1,1,6,1000.0
7.3,2.0,3.0,1,1,6,385.0
8.0,8.0,6.0,2,1,6,600.0
10.9,3.0,3.0,1,1,6,354.0
6.6,4.0,4.0,2,1,6,350.0
5.0,3.0,3.0,2,1,6,114.99999999999999
14.0,8.0,6.0,2,1,6,699.0
5.0,3.0,4.0,2,1,6,170.0
5.0,4.0,6.0,2,1,6,229.99999999999997
6.0,5.0,6.0,2,1,6,270.0
7.0,5.0,6.0,2,1,6,350.0
7.0,5.0,6.0,2,1,6,325.0
4.4,4.0,4.0,2,1,6,350.0
10.0,6.0,6.0,2,1,6,409.0
10.0,5.0,6.0,2,1,6,540.0
5.0,4.0,5.0,2,1,6,185.0
4.4,4.0,5.0,2,1,6,375.0
7.0,3.0,3.0,2,1,6,150.0
10.0,3.0,3.0,1,1,6,450.0
7.5,3.0,3.0,1,1,6,140.0
6.7,6.0,5.0,2,1,6,760.0
12.4,6.0,6.0,2,1,6,1150.0
24.0,6.0,7.0,2,1,6,580.0
5.0,2.0,3.0,2,1,6,132.0
8.0,5.0,6.0,2,1,6,500.0
8.0,4.0,4.0,2,1,6,400.0
7.6,3.0,3.0,1,1,6,180.0
14.4,10.0,6.0,2,1,6,630.0
10.9,5.0,6.0,2,1,6,1070.0
4.0,5.0,5.0,2,1,6,409.99999999999994
14.0,8.0,6.0,2,1,6,950.0
10.754006064943127,5.0,5.0,2,1,8,290.0
4.190899422367542,2.0,2.0,1,1,8,145.0
9.884196750866844,4.0,4.0,2,1,8,750.0
6.167738772540911,2.0,2.0,1,1,8,90.0
9.48882888083217,10.0,6.0,2,1,8,1100.0
5.258392671461161,2.0,2.0,1,1,8,165.0
4.942098375433422,3.0,4.0,2,1,8,90.0
9.64697602884604,4.0,4.0,1,1,8,195.0
3.281553321287792,2.0,2.0,1,1,8,125.0
5.41653981947503,2.0,2.0,1,1,8,105.0
14.826295126300266,5.0,5.0,2,1,8,620.0
13.837875451213582,4.0,4.0,2,1,8,140.0
7.907357400693475,3.0,3.0,2,1,8,229.99999999999997
4.942098375433422,3.0,4.0,2,1,8,130.0
5.693297328499303,3.0,3.0,1,1,8,125.0
4.942098375433422,3.0,3.0,2,1,8,114.99999999999999
6.365422707558248,3.0,3.0,1,1,8,130.0
3.9536787003467375,3.0,2.0,1,1,8,120.0
10.121417472887648,11.0,7.0,2,1,8,650.0
5.495613393481966,1.0,2.0,1,1,8,540.0
6.602643429579052,3.0,3.0,1,1,8,165.0
5.9305180505201065,3.0,3.0,1,1,8,140.0
4.744414440416085,2.0,2.0,2,1,8,209.0
9.48882888083217,3.0,3.0,2,1,8,515.0
2.2140600721941732,2.0,2.0,1,1,8,85.0
14.075096173234385,3.0,4.0,1,1,8,650.0
7.472452743655334,3.0,3.0,1,1,8,260.0
3.9536787003467375,1.0,2.0,1,1,8,299.0
19.768393501733687,6.0,6.0,2,1,8,1050.0
4.546730505398749,2.0,2.0,1,1,8,135.0
19.768393501733687,5.0,6.0,2,1,8,1025.0
15.37981014434881,5.0,6.0,1,1,8,450.0
6.167738772540911,3.0,3.0,1,1,8,350.0
6.800327364596389,3.0,3.0,1,1,8,200.0
7.23523202163453,2.0,4.0,1,1,8,450.0
7.037548086617193,3.0,3.0,1,1,8,190.0
4.744414440416085,2.0,3.0,2,1,8,100.0
4.744414440416085,4.0,5.0,2,1,8,610.0
19.768393501733687,5.0,6.0,2,1,8,1050.0
16.88220805048057,5.0,5.0,2,1,8,980.0000000000001
4.744414440416085,4.0,6.0,2,1,8,218.00000000000003
10.754006064943127,5.0,5.0,2,1,8,325.0
7.274768808637997,3.0,3.0,1,1,8,98.0
13.837875451213582,4.0,5.0,2,1,8,175.0
5.693297328499303,3.0,3.0,1,1,8,185.0
6.246812346547846,3.0,3.0,1,1,8,185.0
19.768393501733687,5.0,5.0,2,1,8,1070.0
7.472452743655334,3.0,3.0,1,1,8,125.0
6.167738772540911,3.0,3.0,1,1,8,130.0
8.30272527072815,2.0,3.0,1,1,8,520.0
11.861036101040213,3.0,4.0,2,1,8,350.0
10.754006064943127,3.0,4.0,1,1,8,960.0
19.768393501733687,5.0,5.0,2,1,8,1025.0
9.48882888083217,8.0,6.0,2,1,8,670.0
9.48882888083217,6.0,6.0,2,1,8,600.0
4.625804079405683,1.0,2.0,1,1,8,400.0
19.768393501733687,5.0,5.0,2,1,8,990.0
7.907357400693475,3.0,3.0,1,1,8,275.0
4.349046570381412,2.0,2.0,1,1,8,90.0
4.942098375433422,3.0,3.0,2,1,8,125.0
4.744414440416085,2.0,3.0,2,1,8,125.0
6.602643429579052,3.0,3.0,1,1,8,215.0
3.9536787003467375,3.0,3.0,2,1,8,425.0
7.670136678672671,3.0,4.0,1,1,8,240.0
9.212071371807898,3.0,4.0,1,1,8,760.0
10.200491046894584,3.0,3.0,2,1,8,139.0
4.625804079405683,2.0,2.0,1,1,8,170.0
9.884196750866844,3.0,3.0,1,1,8,380.0
7.037548086617193,2.0,3.0,1,1,8,869.9999999999999
7.788747039683074,3.0,3.0,1,1,8,281.0
13.837875451213582,4.0,4.0,2,1,8,184.0
9.528365667835638,3.0,3.0,1,1,8,375.0
4.388583357384879,3.0,3.0,1,1,8,90.0
7.472452743655334,3.0,3.0,1,1,8,265.0
4.82348801442302,2.0,2.0,1,1,8,92.0
4.942098375433422,3.0,3.0,2,1,8,100.0
9.884196750866844,3.0,3.0,1,1,8,385.0
4.942098375433422,3.0,3.0,2,1,8,125.0
10.754006064943127,6.0,7.0,2,1,8,290.0
13.837875451213582,4.0,4.0,2,1,8,170.0
13.837875451213582,4.0,4.0,2,1,8,165.0
8.777166714769757,3.0,4.0,1,1,8,960.0
19.768393501733687,5.0,5.0,2,1,8,434.99999999999994
14.826295126300266,5.0,6.0,2,1,8,625.0
19.768393501733687,7.0,7.0,2,1,8,1150.0
4.388583357384879,2.0,2.0,1,1,8,114.99999999999999
9.48882888083217,7.0,6.0,2,1,8,530.0
6.365422707558248,2.0,3.0,1,1,8,550.0
11.861036101040213,3.0,3.0,1,1,8,710.0
4.625804079405683,2.0,2.0,1,1,8,105.0
19.768393501733687,5.0,5.0,2,1,8,1025.0
11.426131444002072,4.0,5.0,1,1,8,400.0
3.0838693862704556,2.0,2.0,1,1,8,75.0
13.837875451213582,4.0,4.0,2,1,8,810.0
13.837875451213582,4.0,4.0,2,1,8,176.0
9.884196750866844,3.0,3.0,1,1,8,165.0
10.754006064943127,5.0,5.0,2,1,8,275.0
7.670136678672671,3.0,3.0,1,1,8,290.0
8.342262057731617,3.0,3.0,1,1,8,185.0
7.907357400693475,2.0,4.0,1,1,8,625.0
4.9816351624368895,3.0,3.0,1,1,8,120.0
9.291144945814834,3.0,3.0,2,1,8,130.0
7.907357400693475,3.0,3.0,2,1,8,170.0
19.768393501733687,5.0,5.0,2,1,8,985.0
5.060708736443824,2.0,2.0,1,1,8,160.0
7.907357400693475,3.0,3.0,2,1,8,155.0
6.009591624527041,3.0,3.0,2,1,8,145.0
4.744414440416085,4.0,5.0,2,1,8,218.00000000000003
13.837875451213582,4.0,4.0,2,1,8,180.0
3.9536787003467375,4.0,5.0,2,1,8,345.0
9.884196750866844,3.0,3.0,1,1,8,165.0
23.722072202080426,9.0,6.0,2,1,8,600.0
4.190899422367542,2.0,2.0,1,1,8,75.0
4.190899422367542,2.0,2.0,1,1,8,70.0
9.37021851982177,4.0,5.0,1,1,8,325.0
4.744414440416085,4.0,4.0,2,1,8,325.0
6.286349133551313,2.0,3.0,1,1,8,172.0
3.9536787003467375,3.0,3.0,2,1,8,425.0
3.8350683393363356,2.0,2.0,1,1,8,190.0
14.826295126300266,5.0,5.0,2,1,8,615.0
9.48882888083217,6.0,6.0,2,1,8,400.0
19.768393501733687,5.0,5.0,2,1,8,1000.0
13.165750072154637,4.0,5.0,1,1,8,325.0
6.602643429579052,3.0,3.0,1,1,8,150.0
13.28436043316504,4.0,5.0,1,1,8,550.0
7.907357400693475,3.0,3.0,2,1,8,155.0
7.670136678672671,3.0,4.0,1,1,8,300.0
7.82828382668654,3.0,3.0,1,1,8,300.0
4.190899422367542,2.0,2.0,1,1,8,130.0
4.942098375433422,3.0,3.0,2,1,8,127.0
7.82828382668654,3.0,4.0,1,1,8,215.0
13.837875451213582,5.0,5.0,2,1,8,1200.0
11.861036101040213,4.0,5.0,2,1,8,698.0
9.48882888083217,6.0,6.0,2,1,8,600.0
11.861036101040213,5.0,5.0,2,1,8,915.0
11.861036101040213,4.0,5.0,2,1,8,700.0
4.190899422367542,2.0,2.0,1,1,8,67.0
2.3722072202080424,5.0,5.0,2,1,8,85.0
8.777166714769757,4.0,4.0,1,1,8,450.0
13.837875451213582,4.0,4.0,2,1,8,170.0
19.768393501733687,5.0,6.0,2,1,8,1150.0
4.744414440416085,4.0,4.0,2,1,8,199.0
4.942098375433422,4.0,4.0,2,1,8,110.00000000000001
16.6054505414563,5.0,5.0,2,1,8,1100.0
13.402970794175442,6.0,5.0,1,1,8,509.99999999999994
7.907357400693475,5.0,6.0,2,1,8,370.0
9.48882888083217,6.0,6.0,2,1,8,455.0
6.009591624527041,3.0,4.0,2,1,8,137.0
9.48882888083217,3.0,3.0,2,1,8,355.0
13.837875451213582,4.0,4.0,2,1,8,180.0
7.3933791696484,3.0,4.0,1,1,8,325.0
7.195695234631063,3.0,5.0,1,1,8,660.0
10.279564620901517,3.0,4.0,2,1,8,550.0
7.037548086617193,3.0,3.0,1,1,8,190.0
4.942098375433422,4.0,5.0,2,1,8,129.0
4.190899422367542,2.0,2.0,1,1,8,125.0
10.121417472887648,6.0,6.0,2,1,8,550.0
4.744414440416085,4.0,4.0,2,1,8,190.0
7.472452743655334,4.0,5.0,1,1,8,260.0
14.510000830272528,4.0,5.0,1,1,8,580.0
4.744414440416085,2.0,2.0,2,1,8,280.0
2.8466486642496514,2.0,2.0,1,1,8,45.0
4.388583357384879,2.0,2.0,1,1,8,75.0
9.64697602884604,4.0,5.0,1,1,8,465.00000000000006
7.907357400693475,7.0,5.0,2,1,8,670.0
11.861036101040213,8.0,7.0,2,1,8,850.0
9.48882888083217,6.0,6.0,2,1,8,550.0
9.291144945814834,3.0,3.0,2,1,8,135.0
6.32588592055478,3.0,3.0,2,1,8,129.0
11.861036101040213,5.0,6.0,2,1,8,750.0
6.009591624527041,3.0,3.0,2,1,8,135.0
6.365422707558248,3.0,2.0,1,1,8,162.0
6.167738772540911,5.0,5.0,1,1,8,190.0
4.349046570381412,5.0,3.0,2,1,8,80.0
10.556322129925789,3.0,3.0,1,1,8,200.0
9.212071371807898,4.0,4.0,1,1,8,340.0
4.625804079405683,2.0,2.0,1,1,8,150.0
10.754006064943127,3.0,3.0,1,1,8,800.0
15.81471480138695,8.0,7.0,2,1,8,575.0
9.64697602884604,3.0,4.0,1,1,8,455.0
13.837875451213582,4.0,4.0,2,1,8,200.0
7.037548086617193,3.0,3.0,1,1,8,300.0
7.472452743655334,3.0,4.0,1,1,8,260.0
15.81471480138695,6.0,6.0,2,1,8,570.0
10.121417472887648,4.0,4.0,1,1,8,340.0
7.4329159566518666,3.0,4.0,1,1,8,320.0
19.768393501733687,5.0,5.0,2,1,8,1019.9999999999999
4.190899422367542,2.0,2.0,1,1,8,125.0
7.23523202163453,3.0,4.0,1,1,8,300.0
4.744414440416085,9.0,7.0,2,1,8,475.0
9.48882888083217,8.0,6.0,2,1,8,440.00000000000006
19.768393501733687,5.0,5.0,2,1,8,1175.0
6.365422707558248,3.0,3.0,1,1,8,240.0
7.670136678672671,3.0,3.0,1,1,8,315.0
6.563106642575584,4.0,5.0,2,1,8,500.0
4.744414440416085,6.0,6.0,2,1,8,459.99999999999994
9.212071371807898,7.0,7.0,2,1,8,585.0
16.88220805048057,5.0,5.0,2,1,8,980.0000000000001
9.48882888083217,6.0,6.0,2,1,8,450.0
6.32588592055478,4.0,4.0,2,1,8,310.0
6.167738772540911,3.0,3.0,1,1,8,150.0
11.861036101040213,3.0,4.0,1,1,8,470.0
10.754006064943127,5.0,7.0,2,1,8,415.00000000000006
13.837875451213582,4.0,4.0,2,1,8,170.0
5.060708736443824,3.0,3.0,1,1,8,95.0
4.942098375433422,3.0,3.0,2,1,8,120.0
7.907357400693475,6.0,6.0,2,1,8,450.0
13.837875451213582,4.0,4.0,2,1,8,180.0
6.167738772540911,3.0,3.0,1,1,8,105.0
4.744414440416085,2.0,3.0,2,1,8,155.0
9.48882888083217,6.0,7.0,2,1,8,515.0
19.768393501733687,5.0,5.0,2,1,8,1015.0
7.907357400693475,6.0,6.0,2,1,8,300.0
4.744414440416085,6.0,6.0,2,1,8,350.0
4.744414440416085,2.0,3.0,2,1,8,145.0
9.884196750866844,5.0,5.0,2,1,8,1100.0
9.48882888083217,4.0,3.0,2,1,8,192.0
4.744414440416085,4.0,5.0,2,1,8,175.0
4.388583357384879,2.0,2.0,1,1,8,130.0
12.295940758078354,4.0,5.0,1,1,8,250.0
11.861036101040213,4.0,5.0,2,1,8,750.0
4.190899422367542,2.0,2.0,1,1,8,26.5
6.602643429579052,3.0,4.0,1,1,8,300.0
20.0,5.0,6.0,2,1,9,666.0
3.0,4.0,4.0,2,1,9,114.99999999999999
20.0,5.0,6.0,2,1,9,825.0
10.0,5.0,6.0,2,1,9,480.0
